Review,Label
Easy to install and beautiful! Perfect amount of light over my art in the powder room! Also adds a beautiful glow in a dark room!,1
"My office is a box with no windows. Thanks to this product, I'm able to have 2 more alternative forms of light highlighting the art I pretty much can never see without migrane-inducing, godless flourescent lighting! Thanks LUXSWAY and Amazon!!",1
This light is amazing. I bought it to see my clock in the night when I am in bed. All I have to do is use my remote control to turn it on or off.,1
"Perfect for my hallway. So cute, and easy to install and use. I used some 3M tapes to install it on my wall, no drilling. Viola! Gonna buy a bunch more for some art work around the house.",1
"A designer on YouTube recommended this light so I thought I’d try it. For the price, it’s a great light. Looks nice on the wall. Highly recommend it.",1
Hubby always wants to know how I come up with these type of things. It's a perfect addition to my living area. We placed it over our anniversary picture going up the stairs. Batteries last long and i like the different brightness it provides depending on mode.,1
This light is exactly as described and I'm using in a darkish corner to highlight an oil painting.,1
"I bought one of these wanting to not only light a painting but to dress up my wall as well. Not only does my painting look better with the added light, but the area looks far more professional than I dreamed. The light added instant class and upped the focus of the room. It was easy to install and comes with a remote that’s user friendly to use and works well from across the room. I would definitely recommend this light. I bought it in black for Halloween, but because it’s easy to install and remove, I’m ordering gold for Christmas.",1
"Beautiful light, so easy to install has so many different lighting options. Obsessed!",1
"I like how easy to install and beautiful lights..
Highly recommended.",1
Very easy to install and looks amazing.,1
Very easy to install.,1
"I purchased 3. Easy to install. 2/3 work perfectly. The 3rd one lights do not function properly. The first time I turned on for 1 hour and it worked great. The second time I wanted to use, the lights turned on but not fully, then would completely cut off after 10 minutes. 30 minutes later would turn back on and then off again. Swapped for new batteries, still the same thing. There must be a short.",1
"No wires, easy install, reasonable price",1
"I love everything about this portrait light. It was easy to install. The back plate detaches and has a built-in level, so hanging it straight is fool-proof. The remote allows you to set timer options, warm/cool light tone, and brightness. I will definitely be buying more!",1
Made my living room look so upscale. In love,1
"This was super easy to install and get set up. The remote controls are a little finicky but honestly I’m not turning them off/on very often.

It doesn’t emit a lot of light but is perfect for the gallery wall set up.",1
This changed the game for highlighting a painting in my hallway and especially love the timer function (though I wish there was more than 2-hour option). Also easy to change the battery. Make your place look fancy like an art gallery!,1
It’s very easy to put together and use and I do like the remote control but it’s nowhere near as bright as I thought it would be and it doesn’t really illuminate a large painting.,1
"The light it gives off isn’t very soft, but it looks nice for the price.",1
"The IR sensor is positioned so it's facing backwards. I had my doubts about the correctness of this. But somehow they got it to work , with the sensor facing in the opposite direction. The IR beam of the remote evidently is being reflected off of the base battery into the sensor. I think it still would've work just as good or even better if the sensor was facing forward . But the designer appears to be going for aesthetics, preferring a smooth continuous profile with the sensor hidden away. They rely on bouncing the beam into the sensor. The timer is just a interval type count down timer. It's not a day/ night type thats turned on and off by room light level. A minus I think.",1
It’s plastic but doesn’t feel too cheap. Take proper measurements before installing it,1
"Love the look. Sits a little crooked (leans forward) as it’s top heavy, even though I used the paper template and followed the directions. Comes with wall anchors but it’s not heavy enough to need them; plus my drywall is so thin, which could be why it’s leaning forward, that the anchors just went straight into the wall and disappeared. Maybe someone will find it 100 years from now like a love letter. “Dear drywall…”",1
Beautiful absolutely gorgeous,1
"I used a clear command strip to hang, so that I didnt have to damage the walls, so installation was a breeze. I used it in my foyer, and it adds so much character to a plain canvas painting, and for such a small price. Also adds subtle ambient light acting like a nightlight when all other lights are off. Ill be ordering a couple more for my living room.",1
Love the look! Easy to install and gives a great look. I’ll probably buy more for other areas of the house.,1
" I love everything about the way this looks. Only issue I have is the batteries. The batteries die in a couple days if you forget to turn it off.

Don’t waste your money. Just buy a rechargeable version.",1
"I needed a light for a tintype photo that was too dark and this is perfect. It was very easy to install except I ended up using nails with a larger head as I did not have the ability to use the enclosed screws. I love that the light heads can be rotated to the exact position you need as well as the fact that there are 3 different choices for lighting (6 white LED lights, 6 warm white LED lights or the combination of 12) and that there is a remote control! Also, the color is fine. It is described as orangey (which it is not) and someone else had said a brushed gold would be preferrable (which it is).",1
"I had my doubts about these... I knew that the paintings in corner of my den needed some lighting, but the thought of having a cord hanging down the wall was untenable to me. Cutting in two outlets on the wall behind the paintings could be easily accomplished, but if the paintings ever came down, the outlets would have had to be removed. This installation remains a possibility.

In the meantime, these lights serve to reinforce the notion that this corner needs lighting. They were simple to install, taking less than 10 minutes each. The lighting modes offer more variety than most plug in lights, and the dimming feature allows you to both extend battery life while adjusting to the lighting needs of the moment. The timer feature is also useful for extending battery life. It turns off what I forgot.

There is a clever little bubble level integral to the mounting bracket that made the installation that much easier. The only adjustment that I had to make was in the field of light coming from the unit. The lights throw a full 180 degrees of light, which resulted for me in light shining above the paintings and frames and onto the wall. I remedied this by placing electrician's tape across the upper section of the lens of the light. Depending on the size of your piece, you may want to similarly adjust the range of lighting. This modification does not show in the room.

I found that mounting it as close to the frame as possible was the best placement for the light. Mounting it above the frame resulted in highlighting the space between the frame and the lights' base.

To sum up, the light is inexpensive, easily installed, versatile, and effective. I can enthusiastically recommend it to anyone who finds himself wanting to light up a framed piece of artwork without undertaking a small home wiring project.",1
" What an affordable way to elevate the look of your home! Easy to install, remote is small and discreet, with a timer",1
,1
,1
"This arrived ahead of time, and was very easy to install for a large painting we have.",1
 Easy to install... I used 3m double sided tape & that did the trick. It really makes the painting pop. Very happy with it !!,1
"Easy to install, just the right light. Love love love it. Makes the print look elegant, I think.",1
"We were looking to add decor to a living room wall. Decided on three vertical pictures with the wireless pictures light over them. Just love it! The color, light, size is perfect!",1
 A great little light to add accent to a hall way,1
Love these for the aesthetic but not super bright If that’s what you’re looking for,1
The remote has to be pointed at the light to operate. Serves it purpose. A little over priced but what isn’t now days,1
"The fixture looks great, I read in several reviews that the fixture had a orange hue but I'm guessing they have improved and fixed that problem bc the fixture looks gold as shown in the picture.",1
"This is so much nicer than I thought it would be, and at a terrific price. Installation was a snap. I bought two and will definitely get more. This is a really great cordless solution for smart looks and occasional use.",1
Just perfect over one of my favorite oils. It looks expensive but it’s not!!!,1
" I like that you can dim and change the brightness of the the lights. I like soft white and at 50% at night. The remotes work in this odd space by the stairs, I was was impressed they worked from the top of the stairs. I love this product. Sorry the video is so long, I recorded it for my sister to show her and couldn't trim to post here.",1
This was super easy to install and I love how it looks. The plate on the back has a self-leveling tool making it error proof for me. Popped in 3 AA batteries and it is up. Easy to take down to change batteries when needed. I like how you can set a timer with the remote. Highly recommend.,1
"Absolutely love these! Fast one day shipping and I was able to easily hang these in my home office!
There is a 'leveler' included with the mounting piece and the fact that you slide the main light onto this allows for easy, no fuss, no mistake installation. Went from package to wall over my pictures in my office in less than 30 mins for all three lights and pictures!
Well worth it and I love the fact the lights are remote controlled so I just point click, dim or change the color and I'm done. Will add a photo later! Thanks",1
These lights are good priced and instantly elevated our space. Super easy to install and was happy to find out one remote will work for both lights,1
LOOKS GREAT,1
Love the remote control. I did purchase two and they both come with their own control but one control turns both on. It had two settings for a cool white light or a yellow light. Just what I was searching for.,1
Love this product. It arrived exactly like the photos. Was very easy to install. Takes 3 AAA Batteries. The remote requires a button battery. (just saying that for those who don't. like keeping button batteries in their homes with kids),1
"Not too bad, just wish it was brighter & the rod was gooseneck adjustable. I don’t plan on using this for a picture light.",1
Love it!,1
"First of all, if you are looking to light up a super expensive piece of art I would assume you are not looking to buy this light. However, I purchased this light because i do have several pieces of art that are moderately expensive and my house has terrible lighting to say the least. I bought one light to see how well it works and i will be buying more for my other paintings. It is rather inexpensive and easy to install. It does a good job lighting up my art but again is not a professional light. There are 2 light modes but i prefer the white light and the remote is super helpful as i installed this high enough i would need a ladder to turn it on and off. Another really great thing is that you can set a timer on the remote so that the light auto turns off so you do not burn through batteries. I recommend this product and will be buying more.",1
"Great little light! Super easy to install and was impressed with the built in level on the hanging bracket. I’ve only had it for a day so
I can’t speak to longevity, but so far it works great. Awesome purchase for the price.",1
I used 3m command strips and stuck these on top of ikea billy bookcases. It looks so fancy. But when you turn them on they are LED which always sorta reminds me of a bug zapper.,1
Works great and lights up my photo great,1
,1
"There’s absolutely nothing negative to say about this lighting. Super easy to set up, literally it took me two minutes. It looks amazing at night. I am not one to right reviews but sometimes you should. You will thank me later. It looks expensive, very good material. Don't hesitate to get it.",1
 I used it to help elevate my mirrors on my wall and it did what needed to be done!,1
Super easy to mount. The remote control is such a plus also. I can turn it on and off without much effort. If I could add one thing it would be to offer a more muted gold.,1
I really like this light! It looks sharp and provides perfect lighting that you can turn up or sun. Make white or warm etc.,1
Installed in a dark corner over a picture that I treasure,1
"This product looks great and is inexpensive. However, be prepared to change batteries often. If you purchase, only turn on when company is over. If you want an everyday painting light (or have a large painting), consider another product.",1
"Absolutely love this light!
It’s lightweight and easy to install. Love that it comes with a paper template so you know where to make the pilot holes.
The remote control works well. I like a warmer light, not bright LED. So love that I’m able to change the warmth and brightness.
Will be buying more for my home.
If you’re looking for an inexpensive art light that works well, look no further!",1
These are great. I wish they came in a more aged gold color but the yellow gold works fine. The remote doesn’t work from far away which sucks but overall we are happy with them.,1
Wasn’t sure how they would look as lighting for my bedroom but they worked out great. They make my room look cozy and ambient. Would love to use them elsewhere.,1
Love this so much! I wanted a light above my mantle but didn’t want to deal with electrical. This was the perfect solution. The gold was really really shiny gold so I took a craft paint brush and brown acrylic paint and went over it a little so it looked like aged brass.,1
"Es muy fácil de instalar...prro en mi caso los tornillos que trajo no sirvieron...tiene un nivel incorporado lo que hace que el trabajo sea más fácil...el brillo, el control remoto todo muy bien...Definitivamente es un plus no tener que hacer obra para los cables. Lo recomiendo ciento x ciento.",1
"Was not as bright as I thought, but looks good in the foyer",1
"I love this picture light. The only problem I had was nailing it to the wall above my Bachelor of Arts degree. It appears that my wall is not cooperating with the hammer and nails. It keeps bending. I think I would have to buy a drill and secure it like that. All and all I was able to place it on a table near the frame and let the light shine upon it. LOL , hey its cool. What I didn't like was the remote control. It appears to be difficult to open and to operate. We can't open the small case to see what type of batteries are needed. Bummer!. However, I love, love, love the picture light and will buy it again for all my other degrees and certificates. It really is a great help in highlighting one's own personal achievements. It sells at a great and affordable price too.",1
Anyone can install this lamp in 5 min! Looks very elegant. The remote control is a big plus as well as the batteries ... no electric cable connection required!,1
Our Peter Max picture is highlighted perfectly,1
Good to install,1
" I literally love everything about this. I can’t stand bright white light. The control let’s you use warm light, gives a dimmer option as well as a timer option. If you use the button on the light itself, it gives you a “mixed” option which is shown in my photo and video. It’s also incredibly easy to install. There is a level (the measuring stick with the leveling bubble) that makes installing as easy as can be. I loved it so much I bought another, then my parents saw it and had me purchase several for them as well. My dad is an artist and very particular with the artwork he has on display. If you have a large painting I would use 2, but it’s perfect for what I have. Also, bonus, one remote works for all of them so you can keep one for backup if you have several in the same room like I do.",1
"Good value! Can’t beat the price and it works well. Like other reviews said, the color is definitely a more orange gold. The middle metal part is yellow gold. Then the base and the hood around the light is plastic and a more orange almost brass color. I wanted a more settle gold so I spray painted it and it came out good. Very easy to install and sturdy. I would use the screws it comes with. I used the correct command strips at first and it fell pretty soon after. With the screws though it’s all set! I would have given it five stars if the color matched the pictures better and if it was all an even color",1
"Until you add it to your pictures, canvas, or portraits. Evaluated my living look",1
Works great !!! Love it !!,1
 I just finished installing these built in gallery bookcases and wanted a library light to finish them off! I needed a battery operated option until I have electricity run. These are the perfect inexpensive solution and they look great! I love how easy they were to install! Literally under 5 min! They have a remote that works on both of them! I love that they offer a warm or cool light that can be dimmed! I love the black option! I also purchased the gold and was less impressed with the finish! The gold was very orange but I think I may keep still and spray paint to use in a powder room. I’m overall very very happy with how these look and operate… and you can’t beat the price!!!,1
Great quality for the price. Easy install and looks great.,1
Lamp is super easy to install and has nice features like 2 different light levels and a remote control. This product would be 5 star if the built in timer did more than simply turn the lamp off. It would be great if the timer could be set to come on daily at a specific time and remain on for a set period then turn off. Many decorative cordless lights have this feature.,1
"So easy to install, looks great, adjustable light",1
"This light was well made, easy to install, and has good light output. There's a built in timer to automatically shut off the light after a predetermined time interval, and battery life is good",1
It looks great hopefully won’t die on me,1
Love this light for over my picture! Easy to use and just the right amount of ambience,1
"This was a great solution for someone who doesn't want to mess with having to plug in a picture light. Although the parts are plastic and the curved arm does not match the light display piece or the mounting piece, at a distance it isn't really too obvious. Also, as another reviewer noted, the brass version is tinged in the orange direction, but as yet another reviewer noted, it is probably an option to tape over the light band and lightly spray the entire piece with a gold spray, thereby toning down the orange and creating a common color for all three parts. I might try that at some point, but my picture light is at a distance, so the tones don't particularly bother me. Otherwise, great features, good lighting, well done for the price!",1
,1
"These are very nice. The only reason that I didn't give them 5 stars is because the arm of each of the lights is just slightly off center, and there doesn't appear to be a way to straighten it without breaking the unit, so I just let it. It's not so noticeable that I needed to return it, but just annoys my OCD.",1
Looks really pretty and easy to install.,1
"I use this light in my theater room to illuminate the popcorn area. It's great. I was planning on using this above a really nice framed poster in the room but the light did look a little cheap next to the nicely framed image. So moving it over to the popcorn area it fit way better over there and had better function.

The light is really bright in our dark room. I keep it at around 10% brightness and it's the perfect strength needed. 100% is really bright for a room with low lights. The battery life has been great especially since I keep the lights so low.

I do not like the remote. It is typical for lights like this. I can see it breaking at some point which will be a problem but just hoping it lasts. You do have to be really close to use it. Like 1 foot away from the light.

For my purposes this is perfect.",1
"Love this light! Easy to hang, as it has a built in level. This was PERFECT!",1
Excellent light. Gives a good glow and lights the pics up very nicely! Not sure how long the battery lasts but it has been 2 weeks and it is still working! Plus it has a remote control and it can switch off after 2 hours! Highly recommend this when you don’t want to hard wire.,1
"This is a first time for us illuminating original art. The lamps work beautifully, they are easy to adjust
We highly recommend this product",1
Perfect to show case our family flag in our living room. Love you can adjust the brightness and angle and even the color hue. I'd buy this again,1
"This has exceeded my expectations! Gold is a little brassy gold but not terrible and goes with the gold accents in my home. I am just laughing so hard at this! Plus, the back plate slides off so you can easily install and not have to fight lining up the holes. A+",1
"Very happy with this purchase. I knew going into it this was not a high quality light for a painting, but I needed something inexpensive for now and this does the trick! To be honest, I was lazy and did not have the tools to actually mount it on to the painting , so I simply laid it over the top and it anchored itself quite nicely over the back, and being so lightweight it worked out perfectly! Now I only did this because it’s a temporary fix until I get the tool to mount it properly, and because of this it doesn’t distribute the light as evenly as it will when it’s mounted to the frame. However, I’m impressed with how well it works, and the remote is great, you control everything , dimmer, timer, warm light/ cool light from the remote that seems to have about a10 ft range. Up close it’s a little cheap looking as some reviews have stated, but once it’s mounted on the frame it looks just fine. My brother was so impressed he also bought one. I highly recommend 😁",1
I wanted a light to brighten my dark gallery corner but have no outlets in the area. This picture light solved my dilemma and illuminates Sadko perfectly. It’s inexpensive and effective. I’ll be buying another!,1
" So this picture light is beautiful. I bought 3 of them and one of the 3 didn’t work, so a new one was sent to me and it actually worked this time around. Beautiful lights with different settings. I love it",1
" Perfect! Exactly as pictured! The dimmer is a amazing feature and the remote works from a good amount of distance. It's perfect in the morning when you are half awake and don't want a bright light, but just enough to see especially since I have blackout curtains. The transition of the dimmer doesn't show as well in the video, but it is very smooth. The hanging process was so quick and easy! The back plate has a built in level which allowed me to hang it perfectly straight and in just minutes. It comes with everything you need in order to hang. My last 2 pics shows the different hues, the 1st being the warm setting and the 2nd being the cool setting. I Love it!",1
"I wanted to create a cozy ambience in my classroom, but keep it looking classy. This light did just that!",1
" Extremely pleased with how simple the install was. No hardwiring needed. There is a back plate that slides off with holes for each screw, after you screw the plate to the wall, the light fixture slides on the plate nice and snug. I used a level when installing. The remote has 3 different light options: blue, warm, and a mixture of blue/warm. It is dimmable and there is a timer option that I use at night as I’m going to bed. The gold color is a little on the orange gold color versus yellow gold but it still looks nice. The light can swivel as well as twist up or down depending on where you want the light reflected on. Really happy with this product and makes my canvas paintings I made stand out.",1
I love everything about it,1
I selected the gold color. Very elegant and lights up my painting perfectly. I really like the multiple choices in lights and the way the arm swivels. I am going to purchase more for the rest of my paintings. Highly recommend this product.,1
"SO easy to mount, so worth the price! I definitely didn’t love the gold at first. The arch is a nice gold, and the rest of the fixture is a bronzey gold that’s a little on the orange side. I really wanted to make this work. It was either this or the black because I definitely wanted to mount these. I gave it a chance and the color is NOT an issue for me anymore. The remote and settings are super convenient and easy to use. Very pleased with this purchase!! No complaints here at all.",1
"Cute and affordable but looks cheap up close. I may spray paint it a softer gold in the future, but for now it serves its purpose. You get what you pay for so I am not too upset about it looking plastic-y and cheap. It works well but most importantly, it looks really sharp above a frame (from a distance Lol). Would still purchase again!",1
So easy to install and they compliment my office bookcases beautifully,1
"We love this light w no cords hanging
Remote control so good
Looks wonderful over art work
Fit our painting perfectly
I would order another one!",1
"I’m so glad I purchased these! Affordable price, doesn’t look cheap (from afar), and offers a range of settings for brightness and direction. Exactly what I was looking for to help make my narrow hallway cozy without turning on all of my ceiling lights for longer hours.",1
I loved this so much I ordered another one. After a few days the first one I ordered stopped working. It would only go to about 30%. When I explained that I didn’t want to take the back plate off the wall for fear of damage I got in touch with Amazon and they are sending me a replacement!! I’m happy because the light is really great and does a good job lighting my artwork along a dark hallway. The fixture itself is somewhat subdued and doesn’t detract from the pieces of art it’s illuminating. It was super easy to hang and I’m just hoping they will not all stop working after a few days. If they continue to work I plan on buying one for all my artwork!,1
Easy to install and use,1
"Didn't want to buy it but my wife was insistent. I thought it looked cheap, but it's actually pretty cool once we received it.",1
"I am thrilled with this light--so many adjustments, you're bound to like some of them! No cord (I don't plan to have it on all the time, so battery life is not an issue). You do need to understand that the ""gooseneck"" on the lamp doesn't flex--so you can swivel it back and forth but not up and down. And the lights themselves can be adjusted. Well made, and looks great. I'll try to add a picture later...",1
"These are so great. I searched high and low for some sconces to go in the molding of a built in bookshelf. I kept running into the issue that either the doors would hit the light when they opened or the sconce would hit the ceiling. I also didn’t have the capability to wire lights. Enter these lights. I LOVE them. They fit the 8 inch space I had to work with perfectly, they have multiple light/dimness settings, they’re easy to install, and use. Now the neck is absolutely a different color. It’s a brassy yellow gold. However, I used Antique Gold Rub’n Buff and it worked like a charm. I’m very pleased with these!",1
The product was delivered timely. It looks great. It was east to install. There are options of light choices for you particular artwork or where it hands. The remote is east to use and works well. I am very happy with my purchase,1
"Arrived early and in excellent shape. The product description is accurate except for one thing. It is better than described. This is my first picture light so maybe I am just ignorant of these things. I am impressed. This light makes the picture pop. I had to place my picture in a dark area of the room. It becomes the focal point with this light.
The product appeared to be cheap because it was very light but its weight is misleading. This was easy to install properly with the provided template.
The remote control is awesome. You can change the color of the light and the brightness.. The timers are real battery savers.",1
,1
"I bought this unit for a medium size painting. The remote control unit worked as expected but the on/off button on the unit did not function. I wish the light were brighter, but it is after all a battery unit. When mounted on the wall the copper color didn't look right with my decor. So I bought some Sharpie jumbo sized markers (black) and carefully ""painted"" the entire unit with them. It looks fine now and doesn't distract the eye from the painting.",1
"Most importantly, I found the following features bring pleasure in viewing my recent purchase: The Guardian.
1) wireless. Runs on 3 AA batteries (not included)
2) miniature level and paper template for determining placement of screws for the panel which the light easily slides
3) remote with option for bright white or amber lightening. Plus ability to brighten or dim
4) timer for auto off as I gaze before sleeping
5) one can actually rotate the lights 180 degrees as to where the light shines on art piece
I am very pleased and will order again for future pieces.",1
"It really is!! It replaced a huge clunker of a light that took FOUR D-size batteries and I had to virtually disassemble the whole thing to replace them. This is a nicely made, almost delicate fixture that looks great even when it's not on. We hung it in maybe five minutes and I can see how easy it will be to replace the THREE AA batteries when it's time.
The remote works great with a number of available settings, but we wish the light on any setting could be just a tad brighter (wouldn't recommend for a dart board). A VERY good, attractive product at an extremely reasonable price.",1
I must have over any great picture,1
Easy to install. Lights can changed to yellow or white. Best of all they have a timer.,1
"This was so easy to install that it blew my mind. I love it's sleek design. It's not as bright as I would like, but it's still a great ad to my portrait that's in a dark corner. I'm very happy with this purchase and recommend this as a good buy!!",1
"I had a tiny bit of trouble thinking I could use command strips or smaller thumbtacks instead of the included screws. Just use the screws. The lighting has a warm or white setting, as well as different length timers. You'll need 3 AA batteries for the unit. The remote control came with a coin battery already in it. I was using some cheap plastic thing that went off every few minutes before, and now this looks like a nice upgrade.
Now if I can just upgrade my darn carpet to hardwoods, it'll look really nice upstairs ; )",1
"I ended up not using this for what I wanted to use it for, but what little I did use it, it worked well. The light is strong and adjustable and it mounts pretty firmly. It's nice to light up a painting. It won't be able to do much for super big paintings though, so keep that in mind. If you want to give even lighting on a large painting you'll need to get something more heavy duty. For a normal size painting that doesn't need exact lighting, though, this is nice.",1
Exelent quality fast delivery exelente description and communications,1
"I love my picture light. It's really pretty and does a great job of lighting my art. It is also offered at an affordable price. The company, Luxsway, also has great customer service! I had an issue and they gave me help freely and quickly, even though I was past the return date. I like this company a lot and will be buying from them in the future! Good people, good product!",1
Love this little light! It looks so cute and it only took a sec to install. The light can be a white light or a warmer tone. You can dim it and put it on a timer. The fixture is easy to get off & change the batteries if need be. The “gold” tone looked a little orange so I did as other buyers did & spray painted it with some gold spray paint. Turned out great. Works via remote or a button on the device. Accidentally ran the remote through the washer & it still works. Yay!,1
Muy practico su uso e instalacion,1
Used these lights to highlight a picture and I also use them when I gave theses shelves a facelift! The lights are remote and can be dimmed. A beautiful finishing touch!,1
"This was a perfect solution to highlight a painting I have that does not get a lot of light. Easy to install and nice looking. Options for warm white light or white light and 50% or 100% intensity are also nice. Light angle is adjustable as well and the remote is perfect for a space that has no outlet. Casing is plastic and somewhat on the cheap side so I hope it lasts. One note that may be the fault of Amazon shipping and the USPS delivery person. I gave specific shipping instructions to leave at my door, with info on entering my gated property. The package was left outside my gate in the weather and it does not appear any attempt was made to deliver it to my door. I'm lucky it wasn't stolen.",1
These are great for the price! Dimmable and you can choose warm white vs the stark look of LED. They came with a template for screws so it was impossible to mess up the placement. Very happy with these!,1
It looks amazing. I wish the brightness was a light higher.,1
It’s a perfect way to upgrade any picture frames or art work.,1
The lights were easy to install and easy to use. The remote works instantly to provide accent lighting without the difficulty of hardwire.,1
"This is just what I was looking for. I wanted to light up a framed picture and there was no easy way to get power to the place. This went up very easily and is easy to remove for battery replacement. It has multiple brightness levels and selectable light tones from whiter to bluer. It remembers the settings, even when the batteries are changed. I have it on for about 3 hours a night and the batteries (3-AA) last between 2 and 3 weeks. Cheaper than an electrician. I wish the remote had more range, I have to stand very close to use it. But there is a switch on the side which can be used instead. One gripe, don't trust the paper template they give you to drill the mounting screws. It's off. Use the base plate itself for your template.",1
Also like the versatility of different settings and dim control. Remote is convenient. Good buy.,1
These were so easy to install. Installed all 3 within 10 minutes. They have a built in level and the lights pop on and off for easy battery change. Adds a sophisticated look for cheap! Highly recommend.,1
Gift for my daughter’s boyfriend. He loves it.,1
A flexible neck rather than one that is rigid and fixed would be helpful.,1
These lights are exactly what I was looking for. Very easy to hang & work perfectly!,1
Very easy to use. Much more convenient than a wired picture light if you have furniture below the picture. Really like having the ability to use the remote to control lighting intensity. Good color rendition.,1
"The light output color has two options, one is more of a blue(ish) typical LED color look. The other is a softer, more halogen look, although my personal preference would be for it to be a bit more yellow.

Also, my unit is slightly crooked. It's mounted straight, but the lamp itself is either slightly bent or just built crooked. Not super noticeable at a glance, but the more you look at it, the more you realize its misshaped.",1
"I used this to highlight a new piece of art I recently purchased. I looked into many different styles and varying price points and this was perfect. Looks very expensive but the price was perfect. I would rather spend my money on the artwork and not a light. It was easy for my husband to mount just took a couple minutes to hang and I love the fact I can adjust the 3 colors - a bright white, warm gold and a combination of the 2. There is a timer as well. I love that it is battery operated and can easily be turned on and adjusted via remote. It is modern looking and has the same features as the 200 and 300 dollar models I saw on other sites. The color matches the frame beautifully. I am very pleased with this purchase and would definitely purchase this light again.",1
I love this little lamp! It's a great way to elevate a little corner of your space....especially if renting since it does not require hardwiring. My only complaint is that the batteries have to be changed quite often to keep the light on and noticeably bright...But the batteries are simple enough to change.,1
"Bought this for my dartboard, and it works pretty well. Easy to install and it actually looks pretty nice despite being plastic. My only gripe is that the light was crooked and didnt line up with the base - they weren't perfectly parallel with each other. So my husband and I had to clamp the bar and manually bend it a few millimeters to straighten it out. Other than that I'm happy with the purchase and is worth the price.",1
This was easy to install & looks amazing. I love that it’s battery operated so I didn’t have to hook anything up. It’s also a great price comparatively.,1
Super cute. It added a nice touch to my wall case. Easy to install. I did not have to wait 12-20 months for my husband to install it either.,1
This is the most handsome picture light I have ever used. It lights up my painting with a soft dim light. Controls work perfectly. Very easy to install with few tools needed. This doesn’t emit a bright light (1 lumen) onto the picture. The manufacturers need to work on that. My light came a little crooked so I had to send it back so check on alignment when you receive you product. That should be corrected before shipping.,1
Very easy install,1
I bought this for a 32x48 and it is definitely not bright enough. The LED's used are on the cheap end so not worth $40 because its all plastic and probably made for $2 in China.,1
"This was so easy to install. But more importantly, it looks great and the price was reasonable. Purchased it to go over a painting of my daughter's wedding. Perfect addition to her new home! Would definitely recommend and will buy again.",1
Easy to install. Looks great.,1
Nice but remote doesn’t do all 3 settings. It just does cool and warm. I like that the light housing is adjustable and can be turned out to spread the light more.,1
"These work well. I love that there is a timer. Also, I didn’t realize I much prefer the warm light to the bright light for viewing paintings. I have 2 artworks that are about 32” to the bottom and not quite bright enough to the bottom. I have 2 other similar light that are only white light and no timer and paid twice as much. If you have a drill, laser level and measuring tape - installs in minutes. I actually used other wall anchors and screws because the included ones are somewhat small. If you used daily it would require a lot of batteries and may want to consider rechargeable. Not sure, but guessing 20 hrs life with 3 AAA batteries",1
"This product works very well. It illuminates my large oil painting (30” h by 40” w). Remote has quite a few settings to choose from in terms of warm/cold light, brightness and timer. I would definitely purchase this again for other paintings.",1
"OK. I have a map of the Territory of Arizona 1880 framed all nice and stuff. I have it in the hallway. This light takes it from merely great, to Outstanding. I have a nice magnifying glass stationed nearby. With this yellow light feature I can study my map in pleasing light in the intensity of my choosing.
I pester every repairman and delivery person with my new light and they are to a man; astounded.
Gotta buy some more cool art as an excuse to buy some more of these fine lamps
Oh the lights are adjustable on the stalks, you can aim them at different areas of your artwork.
Nice feature",1
